Date,Direction,Entry,Exit,Quantity,Brokerage,PnL,Capital,Drawdown%,Result,Month
2025-07-07,LONG,880.85,887.55,79.47,70,462.44,14462.44,0.0,TARGET,2025-07
2025-07-08,SHORT,885.0,889.34,79.1,70,-413.0,14049.44,2.86,SL,2025-07
2025-07-10,SHORT,892.45,890.0,78.44,70,122.17,14171.61,2.01,EOD,2025-07
2025-07-14,LONG,876.3,885.9,79.88,70,696.86,14868.47,0.0,TARGET,2025-07
2025-07-15,SHORT,876.3,880.59,79.88,70,-413.0,14455.47,2.78,SL,2025-07
2025-07-21,LONG,873.25,879.3,80.16,70,414.97,14870.44,0.0,TARGET,2025-07
2025-07-23,SHORT,866.2,870.44,80.81,70,-413.0,14457.44,2.78,SL,2025-07
2025-07-24,SHORT,847.8,851.95,82.57,70,-413.0,14044.44,5.55,SL,2025-07
2025-07-25,SHORT,838.9,832.9,83.44,70,430.66,14475.09,2.66,TARGET,2025-07
2025-07-28,SHORT,819.0,818.0,85.47,70,15.47,14490.56,2.55,EOD,2025-07
2025-07-29,SHORT,800.7,804.62,87.42,70,-413.0,14077.56,5.33,SL,2025-07
2025-07-31,SHORT,812.0,815.98,86.21,70,-413.0,13664.56,8.11,SL,2025-07
2025-08-05,LONG,797.45,793.54,87.78,70,-413.0,13251.56,10.89,SL,2025-08
2025-08-06,SHORT,791.35,795.23,88.46,70,-413.0,12838.56,13.66,SL,2025-08
2025-08-08,SHORT,788.45,792.31,88.78,70,-413.0,12425.56,16.44,SL,2025-08
2025-08-12,SHORT,791.9,795.78,88.39,70,-413.0,12012.56,19.22,SL,2025-08
2025-08-14,SHORT,783.8,778.9,89.31,70,367.61,12380.18,16.75,TARGET,2025-08
2025-08-18,LONG,807.1,812.2,86.73,70,372.32,12752.5,14.24,TARGET,2025-08
2025-08-21,SHORT,822.1,816.45,85.15,70,411.09,13163.59,11.48,TARGET,2025-08
2025-08-28,LONG,785.6,789.85,89.1,70,308.69,13472.28,9.4,TARGET,2025-08
2025-08-29,LONG,771.55,767.77,90.73,70,-413.0,13059.28,12.18,SL,2025-08
2025-09-02,LONG,770.2,766.43,90.89,70,-413.0,12646.28,14.96,SL,2025-09
2025-09-04,SHORT,766.0,761.7,91.38,70,322.95,12969.23,12.79,TARGET,2025-09
2025-09-05,SHORT,753.0,749.0,92.96,70,301.85,13271.07,10.76,TARGET,2025-09
2025-09-10,LONG,809.9,815.0,86.43,70,370.8,13641.87,8.26,TARGET,2025-09
2025-09-11,LONG,824.55,829.35,84.89,70,337.49,13979.36,5.99,TARGET,2025-09
2025-09-16,SHORT,839.8,833.3,83.35,70,471.8,14451.16,2.82,TARGET,2025-09
2025-09-17,LONG,836.45,832.35,83.69,70,-413.0,14038.16,5.6,SL,2025-09
2025-09-18,LONG,834.7,840.15,83.86,70,387.05,14425.21,2.99,TARGET,2025-09
2025-09-19,SHORT,856.85,861.05,81.69,70,-413.0,14012.21,5.77,SL,2025-09
2025-09-26,SHORT,883.0,887.33,79.28,70,-413.0,13599.21,8.55,SL,2025-09
2025-10-01,SHORT,873.85,878.13,80.11,70,-413.0,13186.21,11.33,SL,2025-10
2025-10-03,LONG,908.0,914.45,77.09,70,427.25,13613.46,8.45,TARGET,2025-10
2025-10-06,LONG,924.0,927.75,75.76,70,214.09,13827.55,7.01,EOD,2025-10
2025-10-10,SHORT,916.6,921.09,76.37,70,-413.0,13414.55,9.79,SL,2025-10
2025-10-13,LONG,940.5,935.89,74.43,70,-413.0,13001.55,12.57,SL,2025-10
2025-10-14,SHORT,932.45,926.9,75.07,70,346.64,13348.19,10.24,TARGET,2025-10
2025-10-16,SHORT,949.0,945.0,73.76,70,225.05,13573.24,8.72,EOD,2025-10
2025-10-20,LONG,935.0,937.0,74.87,70,79.73,13652.97,8.19,EOD,2025-10
2025-10-31,SHORT,966.7,971.44,72.41,70,-413.0,13239.97,10.96,SL,2025-10
2025-11-10,SHORT,963.5,968.22,72.65,70,-413.0,12826.97,13.74,SL,2025-11
2025-11-11,LONG,958.25,968.45,73.05,70,675.11,13502.08,9.2,TARGET,2025-11
2025-11-17,SHORT,1014.4,1019.37,69.01,70,-413.0,13089.08,11.98,SL,2025-11
2025-11-20,SHORT,998.85,1003.74,70.08,70,-413.0,12676.08,14.76,SL,2025-11
2025-11-21,SHORT,985.05,979.3,71.06,70,338.61,13014.69,12.48,TARGET,2025-11
2025-11-26,LONG,996.55,991.67,70.24,70,-413.0,12601.69,15.26,SL,2025-11
2025-11-27,SHORT,975.95,980.73,71.72,70,-413.0,12188.69,18.03,SL,2025-11
2025-12-01,LONG,1001.55,996.64,69.89,70,-413.0,11775.69,20.81,SL,2025-12
2025-12-05,LONG,966.2,973.0,72.45,70,422.65,12198.34,17.97,TARGET,2025-12
2025-12-09,LONG,956.75,964.15,73.16,70,471.42,12669.76,14.8,TARGET,2025-12
2025-12-12,LONG,1013.3,1008.33,69.08,70,-413.0,12256.76,17.58,SL,2025-12
2025-12-17,SHORT,986.5,991.33,70.96,70,-413.0,11843.76,20.35,SL,2025-12
2025-12-18,LONG,979.3,984.5,71.48,70,301.69,12145.45,18.32,TARGET,2025-12
2025-12-19,SHORT,975.2,979.98,71.78,70,-413.0,11732.45,21.1,SL,2025-12
2025-12-22,LONG,1000.55,1007.9,69.96,70,444.22,12176.67,18.11,TARGET,2025-12
2025-12-29,SHORT,1010.0,1004.55,69.31,70,307.72,12484.39,16.05,TARGET,2025-12
2025-12-30,LONG,1004.8,1010.5,69.67,70,327.09,12811.48,13.85,TARGET,2025-12
2026-01-01,LONG,1059.1,1053.91,66.09,70,-413.0,12398.48,16.62,SL,2026-01
2026-01-02,LONG,1059.0,1065.9,66.1,70,386.09,12784.57,14.03,TARGET,2026-01
2026-01-08,SHORT,1015.4,1009.6,68.94,70,329.84,13114.42,11.81,TARGET,2026-01
2026-01-12,SHORT,934.8,939.38,74.88,70,-413.0,12701.42,14.59,SL,2026-01
2026-01-13,SHORT,934.2,926.6,74.93,70,499.47,13200.89,11.23,TARGET,2026-01
2026-01-19,SHORT,907.5,911.95,77.13,70,-413.0,12787.89,14.0,SL,2026-01
2026-01-28,LONG,851.5,860.6,82.21,70,678.09,13465.98,9.44,TARGET,2026-01
2026-02-02,LONG,865.55,871.85,80.87,70,439.5,13905.48,6.49,TARGET,2026-02
2026-02-04,LONG,984.15,979.33,71.13,70,-413.0,13492.48,9.27,SL,2026-02
2026-02-05,LONG,1000.4,1010.3,69.97,70,622.72,14115.21,5.08,TARGET,2026-02
2026-02-11,LONG,1029.55,1024.51,67.99,70,-413.0,13702.21,7.86,SL,2026-02
2026-02-16,LONG,988.35,998.8,70.83,70,670.12,14372.33,3.35,TARGET,2026-02
2026-02-18,LONG,1032.0,1026.94,67.83,70,-413.0,13959.33,6.13,SL,2026-02
2026-02-19,SHORT,1022.45,1015.95,68.46,70,375.01,14334.34,3.61,TARGET,2026-02
2026-02-23,SHORT,997.1,1001.99,70.2,70,-413.0,13921.34,6.38,SL,2026-02
2026-02-25,SHORT,1022.25,1027.26,68.48,70,-413.0,13508.34,9.16,SL,2026-02
2026-02-26,SHORT,1010.0,1014.95,69.31,70,-413.0,13095.34,11.94,SL,2026-02
2026-03-04,LONG,966.9,962.16,72.4,70,-413.0,12682.34,14.71,SL,2026-03
2026-03-06,SHORT,993.0,987.5,70.49,70,317.71,13000.05,12.58,TARGET,2026-03
2026-03-09,LONG,974.9,970.12,71.8,70,-413.0,12587.05,15.36,SL,2026-03
2026-03-10,LONG,996.4,1002.1,70.25,70,330.44,12917.49,13.13,TARGET,2026-03
2026-03-11,SHORT,1015.5,1003.6,68.93,70,750.29,13667.78,8.09,TARGET,2026-03
2026-03-13,SHORT,984.6,989.42,71.09,70,-413.0,13254.78,10.86,SL,2026-03
2026-03-19,SHORT,1012.2,1017.16,69.16,70,-413.0,12841.78,13.64,SL,2026-03
2026-03-23,SHORT,966.2,946.3,72.45,70,1371.73,14213.51,4.42,TARGET,2026-03
2026-03-24,SHORT,942.2,936.5,74.29,70,353.48,14566.99,2.04,TARGET,2026-03
2026-03-25,SHORT,980.4,985.2,71.4,70,-413.0,14153.99,4.82,SL,2026-03
2026-04-06,LONG,962.1,957.39,72.76,70,-413.0,13740.99,7.6,SL,2026-04
2026-04-09,SHORT,1058.0,1063.18,66.16,70,-413.0,13327.99,10.37,SL,2026-04
2026-04-13,LONG,1177.25,1171.48,59.46,70,-413.0,12914.99,13.15,SL,2026-04
2026-04-15,SHORT,1181.1,1174.3,59.27,70,333.01,13248.0,10.91,TARGET,2026-04
2026-04-27,LONG,1430.0,1440.65,48.95,70,451.33,13699.33,7.88,TARGET,2026-04
2026-04-28,SHORT,1419.75,1426.71,49.3,70,-413.0,13286.33,10.65,SL,2026-04
2026-04-29,SHORT,1418.0,1424.95,49.37,70,-413.0,12873.33,13.43,SL,2026-04
2026-05-04,LONG,1394.8,1404.5,50.19,70,416.81,13290.14,10.63,TARGET,2026-05
2026-05-05,SHORT,1381.6,1388.37,50.67,70,-413.0,12877.14,13.4,SL,2026-05
2026-05-07,SHORT,1380.6,1387.36,50.7,70,-413.0,12464.14,16.18,SL,2026-05
2026-05-11,LONG,1335.0,1328.46,52.43,70,-413.0,12051.14,18.96,SL,2026-05
2026-05-18,SHORT,1262.3,1253.0,55.45,70,445.73,12496.86,15.96,TARGET,2026-05
2026-05-21,SHORT,1375.0,1357.2,50.91,70,836.18,13333.04,10.34,TARGET,2026-05
2026-05-25,LONG,1383.8,1398.0,50.59,70,648.31,13981.36,5.98,TARGET,2026-05
2026-05-26,LONG,1417.8,1410.85,49.37,70,-413.0,13568.36,8.76,SL,2026-05
2026-05-29,SHORT,1512.7,1515.0,46.27,70,-176.43,13391.92,9.94,EOD,2026-05
2026-06-01,SHORT,1489.0,1496.3,47.01,70,-413.0,12978.92,12.72,SL,2026-06
2026-06-03,LONG,1482.2,1474.94,47.23,70,-413.0,12565.92,15.5,SL,2026-06
2026-06-09,SHORT,1574.0,1581.71,44.47,70,-413.0,12152.92,18.27,SL,2026-06
2026-06-10,LONG,1554.6,1546.98,45.03,70,-413.0,11739.92,21.05,SL,2026-06
2026-06-19,SHORT,1521.6,1529.06,46.0,70,-413.0,11326.92,23.83,SL,2026-06
2026-06-22,LONG,1518.0,1510.56,46.11,70,-413.0,10913.92,26.61,SL,2026-06
2026-06-25,LONG,1521.7,1514.24,46.0,70,-413.0,10500.92,29.38,SL,2026-06
2026-07-02,LONG,1533.1,1548.6,45.66,70,637.72,11138.64,25.1,TARGET,2026-07
2026-07-03,LONG,1559.0,1569.4,44.9,70,396.97,11535.61,22.43,TARGET,2026-07
