Date,Direction,Entry,Exit,Quantity,PnL,Capital,Drawdown%,Result
2026-01-28,SHORT,1964.3,1949.7,101.82,1486.53,41486.53,0.0,TARGET
2026-01-29,LONG,1961.5,1969.0,101.96,764.72,42251.26,0.0,EOD
2026-01-30,LONG,1962.0,1968.8,101.94,693.17,42944.43,0.0,EOD
2026-02-01,SHORT,1931.1,1938.82,103.57,-800.0,42144.43,1.86,SL
2026-02-02,SHORT,1943.2,1950.97,102.92,-800.0,41344.43,3.73,SL
2026-02-03,SHORT,2005.6,1995.0,99.72,1057.04,42401.47,1.26,EOD
2026-02-04,LONG,2021.3,2022.8,98.95,148.42,42549.89,0.92,EOD
2026-02-05,SHORT,2016.5,1999.9,99.18,1646.42,44196.3,0.0,TARGET
2026-02-06,SHORT,1996.6,2004.59,100.17,-800.0,43396.3,1.81,SL
2026-02-09,LONG,2042.3,2034.13,97.93,-800.0,42596.3,3.62,SL
2026-02-10,LONG,2042.6,2034.43,97.91,-800.0,41796.3,5.43,SL
2026-02-11,SHORT,2015.8,2010.8,99.22,496.08,42292.38,4.31,EOD
2026-02-12,SHORT,2021.8,2016.2,98.92,553.96,42846.35,3.05,EOD
2026-02-13,SHORT,2023.3,2004.2,98.85,1888.0,44734.35,0.0,TARGET
2026-02-16,SHORT,2010.6,2018.64,99.47,-800.0,43934.35,1.79,SL
2026-02-17,LONG,2029.6,2021.48,98.54,-800.0,43134.35,3.58,SL
2026-02-18,LONG,2019.1,2021.6,99.05,247.64,43381.99,3.02,EOD
2026-02-19,SHORT,2015.3,1999.3,99.24,1587.85,44969.84,0.0,TARGET
2026-02-20,SHORT,1982.2,1990.13,100.9,-800.0,44169.84,1.78,SL
2026-02-23,SHORT,1994.0,1997.0,100.3,-300.9,43868.94,2.45,EOD
2026-02-25,LONG,1946.6,1938.81,102.74,-800.0,43068.94,4.23,SL
2026-02-26,SHORT,1924.3,1907.6,103.93,1735.7,44804.63,0.37,TARGET
