Date,Direction,Entry,Exit,Quantity,PnL,Capital,Drawdown%,Result
2026-03-20,LONG,1852.3,1843.27,26.99,-243.65,9756.35,2.44,SL
2026-03-23,SHORT,1795.3,1804.05,27.85,-243.65,9512.7,4.87,SL
2026-03-24,SHORT,1795.0,1784.9,27.86,281.34,9794.04,2.06,TARGET
2026-03-25,LONG,1819.4,1840.1,27.48,568.87,10362.9,0.0,TARGET
2026-03-27,SHORT,1823.0,1831.88,27.43,-243.65,10119.25,2.35,SL
2026-03-30,SHORT,1803.0,1792.4,27.73,293.95,10413.21,0.0,TARGET
2026-04-01,SHORT,1802.8,1780.4,27.73,621.26,11034.46,0.0,TARGET
2026-04-02,LONG,1762.9,1754.31,28.36,-243.65,10790.81,2.21,SL
2026-04-07,LONG,1807.5,1818.1,27.66,293.22,11084.04,0.0,TARGET
2026-04-08,SHORT,1856.0,1865.04,26.94,-243.65,10840.39,2.2,SL
2026-04-09,SHORT,1847.0,1856.0,27.07,-243.65,10596.74,4.4,SL
2026-04-13,LONG,1868.7,1886.0,26.76,462.89,11059.63,0.22,TARGET
2026-04-15,SHORT,1872.4,1862.5,26.7,264.37,11323.99,0.0,TARGET
2026-04-16,SHORT,1838.4,1828.6,27.2,266.54,11590.53,0.0,TARGET
2026-04-21,LONG,1862.5,1853.42,26.85,-243.65,11346.88,2.1,SL
2026-04-22,SHORT,1837.6,1826.9,27.21,291.14,11638.02,0.0,TARGET
2026-04-24,SHORT,1808.7,1817.51,27.64,-243.65,11394.37,2.09,SL
2026-04-27,SHORT,1817.5,1826.36,27.51,-243.65,11150.72,4.19,SL
2026-04-28,LONG,1834.2,1850.0,27.26,430.71,11581.43,0.49,TARGET
2026-04-29,LONG,1880.8,1897.2,26.58,435.98,12017.41,0.0,TARGET
2026-04-30,LONG,1878.1,1889.2,26.62,295.51,12312.92,0.0,TARGET
2026-05-04,SHORT,1866.0,1855.0,26.8,294.75,12607.67,0.0,TARGET
2026-05-05,SHORT,1826.2,1805.0,27.38,580.44,13188.11,0.0,TARGET
2026-05-07,SHORT,1822.7,1831.58,27.43,-243.65,12944.46,1.85,SL
2026-05-08,LONG,1824.8,1834.7,27.4,271.26,13215.72,0.0,TARGET
2026-05-11,SHORT,1780.0,1761.6,28.09,516.85,13732.57,0.0,TARGET
2026-05-12,LONG,1772.7,1764.06,28.21,-243.65,13488.92,1.77,SL
2026-05-13,LONG,1785.5,1795.1,28.0,268.83,13757.75,0.0,TARGET
2026-05-14,LONG,1833.3,1849.8,27.27,450.01,14207.76,0.0,TARGET
2026-05-18,LONG,1925.5,1938.0,25.97,324.59,14532.35,0.0,TARGET
2026-05-21,SHORT,1905.0,1892.2,26.25,335.96,14868.31,0.0,TARGET
2026-05-22,SHORT,1886.0,1875.3,26.51,283.67,15151.98,0.0,TARGET
2026-05-25,LONG,1879.3,1870.14,26.61,-243.65,14908.33,1.61,SL
2026-05-26,SHORT,1857.1,1846.4,26.92,288.08,15196.41,0.0,TARGET
2026-05-27,LONG,1857.4,1867.2,26.92,263.81,15460.22,0.0,TARGET
2026-05-29,LONG,1831.7,1822.77,27.3,-243.65,15216.57,1.58,SL
2026-06-01,SHORT,1821.6,1809.2,27.45,340.36,15556.93,0.0,TARGET
2026-06-02,SHORT,1782.3,1790.99,28.05,-243.65,15313.28,1.57,SL
2026-06-03,SHORT,1807.6,1816.41,27.66,-243.65,15069.63,3.13,SL
2026-06-04,SHORT,1813.8,1803.3,27.57,289.45,15359.08,1.27,TARGET
2026-06-05,SHORT,1806.6,1796.0,27.68,293.37,15652.45,0.0,TARGET
2026-06-08,LONG,1802.0,1811.6,27.75,266.37,15918.82,0.0,TARGET
2026-06-09,SHORT,1808.3,1798.2,27.65,279.27,16198.09,0.0,TARGET
2026-06-10,SHORT,1788.7,1777.9,27.95,301.89,16499.98,0.0,TARGET
2026-06-11,LONG,1788.9,1780.18,27.95,-243.65,16256.33,1.48,SL
2026-06-12,LONG,1807.0,1817.1,27.67,279.47,16535.8,0.0,TARGET
2026-06-15,LONG,1829.6,1843.6,27.33,382.6,16918.39,0.0,TARGET
2026-06-16,SHORT,1846.2,1855.2,27.08,-243.65,16674.74,1.44,SL
