Date,Direction,Entry,Exit,Quantity,PnL,Capital,Drawdown%,Result
2026-03-24,LONG,1407.6,1400.74,35.52,-243.65,9756.35,2.44,SL
2026-03-25,LONG,1454.7,1447.61,34.37,-243.65,9512.7,4.87,SL
2026-03-27,SHORT,1420.5,1408.6,35.2,418.87,9931.57,0.68,TARGET
2026-03-30,SHORT,1364.3,1356.8,36.65,274.87,10206.43,0.0,TARGET
2026-04-01,LONG,1431.9,1424.92,34.92,-243.65,9962.78,2.39,SL
2026-04-02,LONG,1445.3,1453.0,34.59,266.38,10229.16,0.0,TARGET
2026-04-06,LONG,1502.8,1495.48,33.27,-243.65,9985.51,2.38,SL
2026-04-07,LONG,1524.8,1533.9,32.79,298.4,10283.91,0.0,TARGET
2026-04-08,LONG,1574.9,1586.7,31.75,374.62,10658.54,0.0,TARGET
2026-04-10,LONG,1624.8,1616.88,30.77,-243.65,10414.89,2.29,SL
2026-04-13,LONG,1570.0,1562.35,31.85,-243.65,10171.24,4.57,SL
2026-04-15,LONG,1628.3,1651.7,30.71,718.54,10889.77,0.0,TARGET
2026-04-16,SHORT,1634.4,1642.36,30.59,-243.65,10646.12,2.24,SL
2026-04-17,LONG,1741.6,1733.11,28.71,-243.65,10402.47,4.47,SL
2026-04-20,LONG,1690.0,1681.76,29.59,-243.65,10158.82,6.71,SL
2026-04-21,LONG,1746.9,1770.8,28.62,684.07,10842.89,0.43,TARGET
2026-04-22,SHORT,1762.0,1751.5,28.38,297.96,11140.85,0.0,TARGET
2026-04-23,SHORT,1746.0,1754.51,28.64,-243.65,10897.2,2.19,SL
2026-04-24,LONG,1719.9,1711.52,29.07,-243.65,10653.55,4.37,SL
2026-04-27,SHORT,1717.3,1725.67,29.12,-243.65,10409.9,6.56,SL
2026-04-28,SHORT,1722.8,1731.2,29.02,-243.65,10166.25,8.75,SL
2026-04-29,SHORT,1682.2,1671.8,29.72,309.12,10475.37,5.97,TARGET
2026-04-30,SHORT,1667.4,1654.8,29.99,377.83,10853.2,2.58,TARGET
2026-05-05,SHORT,1668.0,1657.6,29.98,311.75,11164.95,0.0,TARGET
2026-05-06,SHORT,1645.6,1631.4,30.38,431.45,11596.4,0.0,TARGET
2026-05-07,SHORT,1693.0,1701.25,29.53,-243.65,11352.75,2.1,SL
2026-05-08,SHORT,1693.4,1680.6,29.53,377.94,11730.69,0.0,TARGET
2026-05-11,LONG,1678.3,1670.12,29.79,-243.65,11487.04,2.08,SL
2026-05-12,SHORT,1612.3,1620.16,31.01,-243.65,11243.39,4.15,SL
2026-05-13,SHORT,1591.9,1599.66,31.41,-243.65,10999.74,6.23,SL
2026-05-14,SHORT,1543.9,1551.42,32.39,-243.65,10756.09,8.31,SL
2026-05-15,SHORT,1564.5,1555.4,31.96,290.83,11046.92,5.83,TARGET
2026-05-18,SHORT,1517.1,1509.0,32.96,266.96,11313.88,3.55,TARGET
2026-05-19,LONG,1626.8,1618.87,30.74,-243.65,11070.23,5.63,SL
2026-05-20,SHORT,1655.6,1644.3,30.2,341.26,11411.49,2.72,TARGET
2026-05-21,SHORT,1620.5,1628.4,30.85,-243.65,11167.84,4.8,SL
2026-05-22,LONG,1636.4,1628.43,30.55,-243.65,10924.19,6.88,SL
2026-05-25,LONG,1657.1,1666.4,30.17,280.61,11204.8,4.48,TARGET
2026-05-26,SHORT,1666.0,1657.0,30.01,270.11,11474.91,2.18,TARGET
2026-05-27,LONG,1645.0,1636.98,30.4,-243.65,11231.26,4.26,SL
2026-05-29,LONG,1703.2,1694.9,29.36,-243.65,10987.61,6.33,SL
2026-06-01,SHORT,1683.2,1691.4,29.71,-243.65,10743.96,8.41,SL
2026-06-02,LONG,1762.0,1753.41,28.38,-243.65,10500.31,10.49,SL
2026-06-03,SHORT,1673.5,1664.3,29.88,274.87,10775.18,8.15,TARGET
2026-06-04,LONG,1678.6,1670.42,29.79,-243.65,10531.53,10.22,SL
2026-06-05,SHORT,1673.5,1681.65,29.88,-243.65,10287.88,12.3,SL
2026-06-09,LONG,1624.4,1616.48,30.78,-243.65,10044.23,14.38,SL
2026-06-10,SHORT,1611.0,1602.1,31.04,276.23,10320.46,12.02,TARGET
2026-06-11,LONG,1583.5,1594.8,31.58,356.81,10677.26,8.98,TARGET
2026-06-12,SHORT,1578.0,1561.2,31.69,532.32,11209.58,4.44,TARGET
2026-06-15,LONG,1636.0,1628.03,30.56,-243.65,10965.93,6.52,SL
2026-06-16,LONG,1638.2,1630.22,30.52,-243.65,10722.28,8.6,SL
2026-06-17,SHORT,1651.0,1638.4,30.28,381.59,11103.87,5.34,TARGET
2026-06-18,LONG,1656.0,1647.93,30.19,-243.65,10860.22,7.42,SL
2026-06-19,LONG,1602.7,1594.89,31.2,-243.65,10616.57,9.5,SL
