Date,Direction,Entry,Exit,Quantity,PnL,Capital,Drawdown%,Result
2026-01-19,SHORT,33.48,33.41,14934.29,1045.4,101045.4,0.0,EOD
2026-01-20,SHORT,32.99,33.06,15156.11,-1060.93,99984.47,1.05,EOD
2026-01-21,SHORT,32.58,32.71,15346.84,-2000.0,97984.47,3.03,SL
2026-01-22,LONG,33.01,32.88,15146.93,-2000.0,95984.47,5.01,SL
2026-01-23,SHORT,33.11,32.84,15101.18,4077.32,100061.79,0.97,TARGET
2026-01-28,LONG,32.84,33.05,15225.33,3197.32,103259.11,0.0,EOD
2026-01-29,LONG,32.8,33.06,15243.9,3963.41,107222.53,0.0,TARGET
2026-01-30,LONG,32.89,33.08,15202.19,2888.42,110110.94,0.0,EOD
2026-02-01,LONG,33.12,32.99,15096.62,-2000.0,108110.94,1.82,SL
2026-02-02,SHORT,32.23,32.36,15513.5,-2000.0,106110.94,3.63,SL
2026-02-03,SHORT,33.61,33.3,14876.52,4611.72,110722.66,0.0,TARGET
2026-02-04,LONG,33.49,33.61,14929.83,1791.58,112514.24,0.0,EOD
2026-02-06,SHORT,33.4,33.53,14970.06,-2000.0,110514.24,1.78,SL
2026-02-09,LONG,33.84,34.0,14775.41,2364.07,112878.31,0.0,EOD
2026-02-11,SHORT,34.08,34.1,14671.36,-293.43,112584.88,0.26,EOD
2026-02-12,SHORT,34.06,34.2,14679.98,-2000.0,110584.88,2.03,SL
2026-02-13,SHORT,33.57,33.7,14894.25,-2000.0,108584.88,3.8,SL
2026-02-16,SHORT,33.84,33.6,14775.41,3546.1,112130.98,0.66,TARGET
2026-02-17,LONG,33.86,33.98,14766.69,1772.0,113902.98,0.0,EOD
2026-02-18,LONG,33.78,34.03,14801.66,3700.41,117603.4,0.0,TARGET
2026-02-19,SHORT,33.93,33.67,14736.22,3831.42,121434.82,0.0,TARGET
2026-02-20,LONG,33.77,33.89,14806.04,1776.72,123211.54,0.0,EOD
2026-02-23,LONG,33.76,34.0,14810.43,3554.5,126766.04,0.0,TARGET
2026-02-24,SHORT,33.54,33.67,14907.57,-2000.0,124766.04,1.58,SL
