Date,Direction,Entry,Exit,Quantity,Brokerage,PnL,Capital,Drawdown%,Result,Month
2025-07-15,LONG,3420.0,3416.0,20.47,70,-151.87,13848.13,1.08,EOD,2025-07
2025-07-16,LONG,3411.3,3418.0,20.52,70,67.48,13915.61,0.6,EOD,2025-07
2025-07-17,LONG,3427.1,3429.9,20.43,70,-12.81,13902.8,0.69,EOD,2025-07
2025-07-22,LONG,3470.2,3469.5,20.17,70,-84.12,13818.68,1.3,EOD,2025-07
2025-07-23,LONG,3464.4,3467.5,20.21,70,-7.36,13811.32,1.35,EOD,2025-07
2025-07-24,LONG,3481.1,3476.3,20.11,70,-166.52,13644.8,2.54,EOD,2025-07
2025-08-04,LONG,3357.0,3350.6,20.85,70,-203.45,13441.35,3.99,EOD,2025-08
2025-08-08,LONG,3469.4,3466.7,20.18,70,-124.48,13316.87,4.88,EOD,2025-08
2025-08-14,LONG,3483.0,3485.0,20.1,70,-29.8,13287.07,5.09,EOD,2025-08
2025-08-20,LONG,3599.3,3591.3,19.45,70,-225.59,13061.48,6.7,EOD,2025-08
2025-08-25,LONG,3634.5,3648.7,19.26,70,203.49,13264.97,5.25,EOD,2025-08
2025-08-29,LONG,3634.6,3620.2,19.26,70,-347.33,12917.64,7.73,EOD,2025-08
2025-09-08,LONG,3669.7,3669.0,19.08,70,-83.35,12834.28,8.33,EOD,2025-09
2025-09-23,LONG,3437.4,3439.3,20.36,70,-31.31,12802.98,8.55,EOD,2025-09
2025-10-08,LONG,3571.9,3565.0,19.6,70,-205.22,12597.75,10.02,EOD,2025-10
2025-10-13,LONG,3537.8,3532.9,19.79,70,-166.95,12430.8,11.21,EOD,2025-10
2025-10-14,LONG,3527.2,3528.0,19.85,70,-54.12,12376.68,11.6,EOD,2025-10
2025-10-15,LONG,3543.0,3543.2,19.76,70,-66.05,12310.63,12.07,EOD,2025-10
2025-10-16,LONG,3643.8,3636.0,19.21,70,-219.84,12090.78,13.64,EOD,2025-10
2025-10-23,LONG,3781.2,3763.3,18.51,70,-401.38,11689.41,16.5,EOD,2025-10
2025-10-27,LONG,3734.4,3733.0,18.74,70,-96.24,11593.17,17.19,EOD,2025-10
2025-10-29,LONG,3743.4,3742.0,18.7,70,-96.18,11496.99,17.88,EOD,2025-10
2025-11-04,LONG,3806.2,3810.0,18.39,70,-0.11,11496.87,17.88,EOD,2025-11
2025-11-07,LONG,3762.9,3768.0,18.6,70,24.87,11521.75,17.7,EOD,2025-11
2025-11-13,LONG,3849.1,3839.3,18.19,70,-248.22,11273.52,19.47,EOD,2025-11
2025-11-17,LONG,3853.0,3863.9,18.17,70,128.03,11401.55,18.56,EOD,2025-11
2025-11-26,LONG,3896.8,3899.6,17.96,70,-19.7,11381.85,18.7,EOD,2025-11
2025-12-02,LONG,3888.6,3886.5,18.0,70,-107.8,11274.05,19.47,EOD,2025-12
2025-12-05,LONG,3820.5,3813.0,18.32,70,-207.42,11066.63,20.95,EOD,2025-12
2025-12-10,LONG,3846.9,3830.4,18.2,70,-370.24,10696.39,23.6,EOD,2025-12
2025-12-12,LONG,3879.4,3871.0,18.04,70,-221.57,10474.82,25.18,EOD,2025-12
2025-12-15,LONG,3868.9,3855.0,18.09,70,-321.49,10153.32,27.48,EOD,2025-12
2025-12-16,LONG,3925.3,3930.0,17.83,70,13.82,10167.14,27.38,EOD,2025-12
2025-12-18,LONG,3910.9,3919.9,17.9,70,91.09,10258.23,26.73,EOD,2025-12
2025-12-31,LONG,4057.5,4048.0,17.25,70,-233.89,10024.33,28.4,EOD,2025-12
2026-01-05,LONG,4073.7,4076.0,17.18,70,-30.48,9993.86,28.62,EOD,2026-01
2026-01-06,LONG,4100.1,4112.0,17.07,70,133.17,10127.02,27.66,EOD,2026-01
2026-01-13,LONG,4242.9,4233.5,16.5,70,-225.08,9901.94,29.27,EOD,2026-01
2026-01-23,LONG,4020.7,4020.2,17.41,70,-78.7,9823.23,29.83,EOD,2026-01
2026-02-04,LONG,4143.0,4135.1,16.9,70,-203.48,9619.76,31.29,EOD,2026-02
2026-02-12,LONG,4265.1,4267.0,16.41,70,-38.82,9580.94,31.56,EOD,2026-02
2026-02-16,LONG,4177.8,4172.0,16.76,70,-167.18,9413.76,32.76,EOD,2026-02
2026-02-20,LONG,4248.5,4232.0,16.48,70,-341.86,9071.9,35.2,EOD,2026-02
2026-02-23,LONG,4271.4,4271.0,16.39,70,-76.56,8995.34,35.75,EOD,2026-02
2026-02-27,LONG,4321.9,4333.0,16.2,70,109.78,9105.12,34.96,EOD,2026-02
2026-03-09,LONG,4152.5,4166.0,16.86,70,157.57,9262.7,33.84,EOD,2026-03
2026-03-17,LONG,4084.6,4100.0,17.14,70,193.92,9456.62,32.45,EOD,2026-03
2026-04-07,LONG,4233.0,4238.0,16.54,70,12.68,9469.3,32.36,EOD,2026-04
2026-04-08,LONG,4485.0,4485.0,15.61,70,-70.0,9399.3,32.86,EOD,2026-04
2026-04-23,LONG,4452.0,4450.0,15.72,70,-101.45,9297.85,33.59,EOD,2026-04
2026-06-11,LONG,4035.3,4031.0,17.35,70,-144.59,9153.26,34.62,EOD,2026-06
